@relation 'data-weka.filters.unsupervised.attribute.Remove-V-R14,44,46,73,75,126,129,140,145,156,185,210,219,234,240,248,254,265,284,319,332,341-344,373,424,438,450,464,468,585,606,614,626,638,653-654,668,682,686,716,770,794-795,800,828,858,901'

@attribute attr13 numeric
@attribute attr43 numeric
@attribute attr45 numeric
@attribute attr72 numeric
@attribute attr74 numeric
@attribute attr125 numeric
@attribute attr128 numeric
@attribute attr139 numeric
@attribute attr144 numeric
@attribute attr155 numeric
@attribute attr184 numeric
@attribute attr209 numeric
@attribute attr218 numeric
@attribute attr233 numeric
@attribute attr239 numeric
@attribute attr247 numeric
@attribute attr253 numeric
@attribute attr264 numeric
@attribute attr283 numeric
@attribute attr318 numeric
@attribute attr331 numeric
@attribute attr340 numeric
@attribute attr341 numeric
@attribute attr342 numeric
@attribute attr343 numeric
@attribute attr372 numeric
@attribute attr423 numeric
@attribute attr437 numeric
@attribute attr449 numeric
@attribute attr463 numeric
@attribute attr467 numeric
@attribute attr584 numeric
@attribute attr605 numeric
@attribute attr613 numeric
@attribute attr625 numeric
@attribute attr637 numeric
@attribute attr652 numeric
@attribute attr653 numeric
@attribute attr667 numeric
@attribute attr681 numeric
@attribute attr685 numeric
@attribute attr715 numeric
@attribute attr769 numeric
@attribute attr793 numeric
@attribute attr794 numeric
@attribute attr799 numeric
@attribute attr827 numeric
@attribute attr857 numeric
@attribute theClass {positive,negative}

@data
-8616569,-8814201,-9274492,-8616559,-8945520,-9802600,-11048558,-13681551,-14670231,-14799238,-16441989,-8756661,-16632175,-8811069,-7838135,-16763252,-13480032,-16573339,-5718032,-3680563,-3286301,-4201985,-1376257,-1572865,-4138540,-5982028,-7298867,-10460068,-13429760,-15661027,-8551298,-327681,-15911769,-10517322,-16772499,-15385168,-1048577,-3679497,-15385425,-2101512,-16769941,-16770726,-6710836,-4272166,-4866093,-4540733,-6055040,-1581384,negative
-3221540,-3221283,-5525325,-1049091,-1,-7500140,-9078921,-16777206,-16709603,-16777216,-16777216,-9998221,-14805229,-14928306,-10129293,-14935284,-16772804,-16770240,-14465695,-8417393,-15659500,-13877159,-11047811,-9073007,-9073016,-8745327,-1,-10921885,-9538184,-16777216,-16777216,-7957098,-16774877,-15125955,-16775117,-15855337,-7429721,-9929851,-13356004,-9141365,-16770750,-16771524,-13613997,-8221291,-8550253,-7234141,-3945522,-8814716,negative
-9541563,-10587484,-8813917,-16777057,-16777034,-16703824,-16770642,-16771422,-16574557,-16769873,-16769105,-16771944,-16770385,-16771926,-16771947,-16770386,-7231268,-16770912,-4,-16573528,-35,-460059,-2827293,-2958622,-14,-2630172,-6313786,-2828066,-11573849,-2629660,-2762015,-16777054,-16769362,-2495773,-16769626,-16769866,-16771676,-16771674,-16770122,-16771669,-16774510,-4602197,-16770902,-16640083,-16574290,-16704854,-16777048,-14332970,negative
-1323353,-1651796,-2046046,-1124411,-5158,-13158581,-16777153,-10531218,-6845312,-13221009,-7169878,-8492986,-16309096,-16114847,-11515594,-15915110,-13940578,-16314296,-7098393,-16776331,-928327,-2232321,-393217,-1837830,-8222041,-2628641,-11053724,-2562069,-10528198,-1970969,-983557,-16773016,-16706961,-16309127,-6451855,-15915376,-16774546,-15192471,-16773768,-16768364,-2963290,-1450577,-10981720,-2894906,-14,-1249537,-17,-5333116,negative
-13813937,-14207112,-13547919,-16504436,-15783288,-12895390,-16244342,-16765562,-6382433,-12364914,-10195542,-6902601,-917505,-13873270,-9337708,-5517829,-16773228,-12364159,-16770159,-16702550,-10850668,-2757380,-2823947,-3875597,-9729337,-2231053,-16768887,-9072423,-10653067,-3281166,-3814154,-3483950,-16769889,-1707011,-7629655,-16767827,-16770427,-15253367,-16767062,-16771475,-5135730,-4742275,-16768934,-16766307,-16765540,-12230261,-12361051,-10589816,negative
-68385,-12690254,-15580002,-16777031,-16769331,-1,-16769847,-16767537,-8017974,-14202982,-12295002,-8492956,-16773188,-16763443,-7636122,-16769081,-4927529,-16762925,-4993834,-16770108,-2490635,-16773430,-12747830,-2098727,-5256237,-3015210,-16635449,-4207915,-14474478,-3152168,-4401966,-4139058,-16765750,-5191727,-16632625,-16772660,-16765231,-16764719,-16768566,-16765999,-16769055,-13990689,-16633401,-1638458,-7165761,-16773432,-16763669,-10845548,negative
-9667675,-16771635,-16771112,-16777010,-16768555,-11517648,-16776494,-16768821,-16764196,-9802423,-10333649,-9673892,-16766000,-16768579,-10857659,-16766760,-65537,-16769343,-1,-16771373,-16384000,-16703536,-16771119,-16766274,-720897,-16773712,-13535755,-1,-11770260,-16777021,-1,-65538,-16775734,-1,-16766774,-16699943,-16777022,-16768572,-16632877,-8934425,-16769340,-16770855,-1,-16698659,-16698919,-11104299,-16769576,-16767029,negative
-15921384,-16052970,-16119018,-16381416,-16777216,-16512231,-16578540,-16051923,-14933721,-16052446,-16578790,-1249804,-14529907,-13944496,-986122,-13609065,-16757068,-13549735,-10316836,-16761150,-15394013,-14060611,-5055745,-1,-1,-2884865,-15062990,-7490352,-6247761,-14196060,-3018258,-6043662,-13549723,-16765548,-9339511,-12822624,-13742716,-13414796,-13019776,-12823677,-10987936,-14801879,-11578257,-10265476,-10789252,-11910830,-11118747,-10658971,negative
-5587543,-16777035,-16777008,-16777026,-16777008,-7037305,-16777025,-16774701,-16776997,-2691602,-2824492,-9998728,-16777013,-16774703,-10657169,-16777015,-1444865,-16775474,-1378817,-17,-5393511,-16777049,-13348168,-1,-1970179,-1,-16777018,-16776745,-9798798,-1707779,-16777005,-1,-16710206,-16776270,-12,-16776249,-9405475,-10654002,-16775731,-16777018,-16776969,-9393936,-16641578,-16710960,-16643117,-16776984,-16776984,-6832699,negative
-16777216,-11460565,-1,-6851681,-3490332,-10282731,-5796416,-16302411,-5663087,-14483456,-10269624,-16777216,-15776829,-16763984,-16185849,-16366143,-1,-16766042,-328963,-1053449,-2766402,-2686977,-1,-1537,-528641,-6648629,-13018697,-15390588,-859441,-2630401,-15390048,-1911070,-16767061,-1,-12294768,-16766528,-16766801,-16436064,-16768326,-16763725,-9216930,-7835803,-9407539,-9927718,-11378482,-7642485,-10865345,-9561082,negative
